#Organism/Name	TaxID	BioProject Accession	BioProject ID	Group	SubGroup	Size (Kb)	GC%	Host	Segmemts	Genes	Proteins	Release Date	Modify Date	Status
Cyanophage Syn2	536473	PRJNA53307	53307	Other	Kyanoviridae	175.596	41.3	bacteria	HQ634190.1	209	201	2013/03/25	2013/03/25	Complete Genome
Cyanophage Syn10	536472	PRJNA53309	53309	Other	Myoviridae	177.103	40.6	bacteria	HQ634191.1	216	205	2013/03/25	2013/03/25	Complete Genome
Cyanophage S-SSM2	536464	PRJNA53311	53311	Other	Kyanoviridae	179.98	41.1	bacteria	JF974292.1	208	207	2013/03/20	2013/03/25	Complete Genome
Halorubrum phage GNf2	889959	PRJNA53313	53313	Other	Myoviridae	82.365	53.6	archaea	JF974305.1	112	109	2013/02/26	2013/02/26	Chromosome
Cotton leafroll dwarf virus	312295		0	Other	Solemoviridae	5.866	50.1	land plants	 Unknown:NC_014545.1/GU167940.1	7	7	2010/10/01	2018/08/13	Complete Genome
Frangipani mosaic virus	99585		0	Other	Virgaviridae	6.643	39.3	land plants	 Unknown:NC_014546.1/HM026454.1	4	4	2010/10/03	2018/08/13	Complete Genome
Digitaria didactyla striate mosaic virus	889510		0	Other	Geminiviridae	2.762	48.4	land plants	 Unknown:NC_014547.1/HM122238.1	4	4	2010/10/03	2018/08/13	Complete Genome
Vibrio phage jenny 12G5	573176	PRJNA53545	53545	Other	Siphoviridae	40.557	42.3	bacteria	HQ632860.1	75	75	2013/06/11	2013/06/11	Complete Genome
Vibrio phage eugene 12A10	573172	PRJNA53547	53547	Other	Myoviridae	138.234	38	bacteria	 Unknown:NC_029067.1/HQ634195.1	253	251	2013/06/11	2020/12/20	Complete Genome
Turkey adenovirus 1	878329		0	Other	Adenoviridae	45.413	66.9	vertebrates	 Unknown:NC_014564.2/GU936707.2	37	37	2010/09/06	2020/12/20	Complete Genome
Saimiriine alphaherpesvirus 1	10353		0	Other	Herpesviridae	156.742	67.1	-	 Unknown:NC_014567.1/HM625781.1	70	70	2010/10/09	2018/08/13	Complete Genome
Blueberry latent virus	430710		0	Other	Amalgaviridae	3.431	47	land plants	 Unknown:NC_014593.1/HM029246.1	2	2	2010/10/09	2018/08/13	Complete Genome
Tomato leaf curl Bangladesh betasatellite	885379		0	Other	Tolecusatellitidae	1.383	39.6	land plants	AJ542489.1	1	1	2004/05/10	2017/09/29	Complete Genome
Shigella phage SP18	645664		0	Other	Straboviridae	170.605	40.4	bacteria	 Unknown:NC_014595.1/GQ981382.1	289	284	2010/10/12	2021/10/12	Complete Genome
Tobacco leaf curl Pusa virus	905054		0	Other	Geminiviridae	2.707	43.1	land plants	 DNA A:NC_014596.1/HQ180391.1	6	6	2010/10/12	2018/08/13	Complete Genome
Tobacco leaf curl PUSA alphasatellite	905055		0	Other	Alphasatellitidae	1.379	41	land plants	 Unknown:NC_014597.1/HQ180392.1	1	1	2010/10/12	2018/08/13	Complete Genome
Raspberry latent virus	907191		0	Other	Other	26.128	42.5502	land plants	 1:NC_014598.1/;  S1:HQ012653.1;  2:NC_014599.1/;  S2:HQ012654.1;  3:NC_014600.1/;  S3:HQ012655.1;  4:NC_014601.1/;  S4:HQ012656.1;  5:NC_014602.1/;  S5:HQ012657.1;  6:NC_014603.1/;  S6:HQ012658.1;  7:NC_014604.1/;  S7:HQ012659.1;  8:NC_014605.1/;  S8:HQ012660.1;  9:NC_014606.1/;  S9:HQ012661.1;  10:NC_014607.1/;  S10:HQ012662.1	12	24	2010/10/12	2011/03/15	Complete Genome
Armigeres subalbatus virus SaX06-AK20	556524		0	Other	Totiviridae	7.51	46.4	invertebrates	 Unknown:NC_014609.1/EU715328.1	2	2	2009/12/31	2018/08/13	Complete Genome
Euphorbia yellow mosaic virus associated DNA 1	666147		0	Other	Alphasatellitidae	1.331	43.4	land plants	 Unknown:NC_014630.1/FN436008.1	1	1	2010/06/09	2018/08/13	Complete Genome
Spinach severe curly top virus	873160		0	Other	Geminiviridae	3.065	38.1	land plants	 Unknown:NC_014631.1/GU734126.2	6	6	2010/09/07	2018/08/13	Complete Genome
Aeromonas phage phiAS4	879628		0	Other	Straboviridae	163.875	41.3	bacteria	 Unknown:NC_014635.1/HM452125.1	271	271	2010/09/08	2020/12/20	Complete Genome
Aeromonas phage phiAS5	879630		0	Other	Straboviridae	225.268	43	bacteria	 Unknown:NC_014636.1/HM452126.1	343	343	2010/09/08	2020/12/20	Complete Genome
Cafeteria roenbergensis virus BV-PW1	693272		0	Other	Mimiviridae	617.453	23.3	protozoa	 Unknown:NC_014637.1/GU244497.1	544	544	2010/10/26	2020/12/20	Complete Genome
Ageratum leaf curl Cameroon virus	912033		0	Other	Geminiviridae	2.792	42.2	land plants	 DNA A:NC_014645.1/FR717144.1	6	6	2010/11/02	2018/08/14	Complete Genome
Malvastrum yellow vein Changa Manga virus	911574		0	Other	Geminiviridae	2.754	43.5	land plants	 DNA A:NC_014647.1/FR715681.1	6	6	2010/10/31	2018/08/13	Complete Genome
Cellulophaga phage phi47:1	756281		0	Other	Myoviridae	54.016	33.5	bacteria	KC821634.1	80	80	2013/06/29	2015/12/31	Complete Genome
Acanthamoeba polyphaga mimivirus	212035		0	Other	Mimiviridae	1181.55	28	protozoa	 Unknown:NC_014649.1/HQ336222.2	1018	979	2010/10/12	2021/01/21	Complete Genome
Acinetobacter phage Ac42	762660		0	Other	Straboviridae	167.716	36.4	bacteria	 Unknown:NC_014660.1/HM032710.1	263	255	2010/11/10	2021/10/12	Complete Genome
Acinetobacter phage Acj61	760732		0	Other	Straboviridae	164.093	39	bacteria	 Unknown:NC_014661.1/GU911519.1	254	241	2010/11/10	2021/10/12	Complete Genome
Enterobacter phage CC31	709484		0	Other	Straboviridae	165.54	39.9	bacteria	 Unknown:NC_014662.1/GU323318.1	287	279	2010/01/21	2021/10/12	Complete Genome
Acinetobacter phage Acj9	760939		0	Other	Straboviridae	169.947	40	bacteria	 Unknown:NC_014663.1/HM004124.1	272	253	2010/11/10	2020/12/20	Complete Genome
Porcine parvovirus 4	707546		0	Other	Parvoviridae	5.905	42.5	vertebrates	 Unknown:NC_014665.1/GQ387499.1	3	3	2010/01/12	2018/08/13	Complete Genome
Papaya leaf crumple virus-Panipat 8 [India:Panipat:Papaya:2008]	913600		0	Other	Geminiviridae	2.736	44.1	land plants	 DNA A:NC_014707.1/HM140367.1	7	7	2010/11/17	2018/08/13	Complete Genome
Southern rice black-streaked dwarf virus	519497		0	Other	Spinareoviridae	29.124	34.4008	land plants	 5:NC_014708.1/FN563993.1;  9:NC_014712.1/EU523359.1;  10:NC_014713.1/EU523360.1;  6:NC_014709.1/FN563994.1;  1:NC_014714.1/FN563989.1;  7:NC_014710.1/FN563995.1;  2:NC_014715.1/FN563990.1;  8:NC_014711.1/FN563996.1;  3:NC_014716.1/FN563991.1;  4:NC_014717.1/FN563992.1	13	13	2008/04/21	2018/08/13	Complete Genome
Cowpea mild mottle virus	67761		0	Other	Betaflexiviridae	8.127	41.1	land plants	 Unknown:NC_014730.1/HQ184471.1	6	6	2010/11/23	2018/08/13	Complete Genome
Chickpea redleaf virus	887827		0	Other	Geminiviridae	2.605	43.2	land plants	 Unknown:NC_014739.1/GU256532.1	4	4	2010/11/22	2018/08/13	Complete Genome
Chickpea chlorosis virus-A	887825		0	Other	Geminiviridae	2.582	43.5	land plants	 Unknown:NC_014740.1/GU256530.1	4	4	2010/11/22	2018/08/13	Complete Genome
Escherichia phage vB_EcoM_VR7	700939		0	Other	Straboviridae	169.285	40.3	bacteria	 Unknown:NC_014792.1/HM563683.1	294	293	2010/12/07	2021/10/12	Complete Genome
Mud crab virus	932662		0	Other	Dicistroviridae	10.436	40.7	invertebrates	 Unknown:NC_014793.1/HM777507.1	2	2	2010/12/12	2018/08/13	Complete Genome
Sida golden mosaic Buckup virus-[Jamaica:St. Elizabeth:2004]	929769		0	Other	Geminiviridae	5.199	44.6717	-	 DNA A:NC_014794.1/HQ008338.1;  DNA B:NC_014795.1/HQ009518.1	5	5	2010/12/13	2018/08/13	Complete Genome
Apricot latent virus	75387		0	Other	Betaflexiviridae	9.311	42.4	land plants	 Unknown:NC_014821.1/HQ339956.1	5	5	2010/12/25	2018/08/13	Complete Genome
Bromus catharticus striate mosaic virus	936005		0	Other	Geminiviridae	2.797	49.5	land plants	 Unknown:NC_014822.1/HQ113104.1	4	4	2010/12/25	2018/08/13	Complete Genome
Tolypocladium cylindrosporum virus 1	939923		0	Other	Totiviridae	5.196	61	fungi	 Unknown:NC_014823.1/FR750562.1	2	2	2010/12/23	2018/08/13	Complete Genome
Human papillomavirus 148	942038		0	Other	Papillomaviridae	7.164	37.4	human	GU129016.1	7	7	2010/12/31	2016/07/25	Complete Genome
Bhendi yellow vein India virus [India:Dharwad OYDWR2:2006]	908028		0	Other	Geminiviridae	2.739	43.4	land plants	 DNA A:NC_014845.1/GU112023.1	7	7	2011/01/01	2018/08/13	Complete Genome
Bhendi yellow vein India betasatellite [India:Aurangabad:OY164:2006]	908010		0	Other	Tolecusatellitidae	1.385	37	land plants	 Unknown:NC_014846.1/GU111988.1	1	1	2011/01/01	2018/08/13	Complete Genome
Okra leaf curl India virus [India:Sonipat EL14A:2006]	908124		0	Other	Geminiviridae	2.723	44.7	land plants	 DNA A:NC_014847.1/GU112010.1	6	6	2011/01/01	2018/08/13	Complete Genome
Okra enation leaf curl virus [India:Munthal EL37:2006]	908127		0	Other	Geminiviridae	2.724	44.7	land plants	 DNA A:NC_014894.1/GU111998.1	6	6	2011/01/01	2018/08/13	Complete Genome
Bhendi yellow vein mosaic betasatellite [India:Coimbator:OYCO1:2005]	908072		0	Other	Tolecusatellitidae	1.373	41.2	land plants	 Unknown:NC_014895.1/GU111975.1	1	1	2011/01/01	2018/08/13	Complete Genome
Okra enation leaf curl betasatellite [India:Sonipat:EL10:2006]	908277		0	Other	Tolecusatellitidae	1.354	38.3	land plants	 Unknown:NC_014896.1/GU111961.1	1	1	2011/01/01	2018/08/13	Complete Genome
Cotton leaf curl Allahabad virus [India:Karnal:OY77:2005]	908137		0	Other	Geminiviridae	2.744	42.9	land plants	 DNA A:GU112081.1	7	7	2011/01/01	2012/05/18	Complete Genome
Lupinus mosaic virus	573615		0	Other	Potyviridae	10.113	39.9	land plants	NC_014898.1/EU847625.2	2	2	2009/09/30	2018/08/13	Complete Genome
Murine adenovirus 2	931972		0	Other	Adenoviridae	35.203	63.4	vertebrates	 Unknown:NC_014899.1/HM049560.1	27	27	2011/01/01	2020/12/20	Complete Genome
Salmonella phage ST160	714583		0	Other	Other	40.986	47.1	bacteria	 Unknown:NC_014900.1/GU573886.1	63	63	2011/01/01	2021/10/12	Complete Genome
Mycobacterium phage Wee	938131		0	Other	Other	59.23	61.8	bacteria	 Unknown:NC_014901.1/HQ728524.1	109	109	2010/12/27	2022/01/05	Complete Genome
Rhynchosia yellow mosaic India virus	935473		0	Other	Geminiviridae	5.406	39.0204	land plants	 DNA A:NC_014902.1/HM777508.1;  DNA B:NC_014903.1/HM777510.1	9	8	2010/12/26	2018/08/13	Complete Genome
Tuber aestivum betaendornavirus	941765		0	Other	Endornaviridae	9.76	40.4	fungi	 Unknown:NC_014904.1/HQ380014.1	1	1	2011/01/09	2018/08/13	Complete Genome
Apium virus Y	168135		0	Other	Potyviridae	9.917	40.5	land plants	NC_014905.1/HM363516.1	2	2	2011/01/12	2018/08/13	Complete Genome
Okra yellow crinkle Cameroon alphasatellite [CM:Lys1sp2:09]	743026		0	Other	Alphasatellitidae	1.356	38.6	land plants	 Unknown:NC_014906.1/FN675284.1	1	1	2011/01/10	2018/08/13	Complete Genome
Malvastrum yellow mosaic Cameroon alphasatellite	741733		0	Other	Alphasatellitidae	1.416	40	land plants	 Unknown:NC_014907.1/FN675297.1	1	1	2011/01/10	2018/08/13	Complete Genome
Cyclovirus PKgoat21/PAK/2009	942033		0	Other	Circoviridae	1.838	45.3	vertebrates	 Unknown:NC_014927.1/HQ738635.1	2	2	2011/01/10	2018/08/13	Complete Genome
Cyclovirus PKgoat11/PAK/2009	942034		0	Other	Circoviridae	1.751	43.7	vertebrates	 Unknown:NC_014928.1/HQ738636.1	2	2	2011/01/10	2018/08/13	Complete Genome
Cyclovirus bat/USA/2009	942035		0	Other	Circoviridae	1.703	41.5	vertebrates	 Unknown:NC_014929.1/HQ738637.1	2	2	2011/01/10	2018/08/13	Complete Genome
Cyclovirus NGchicken15/NGA/2009	942037		0	Other	Circoviridae	1.76	44.5	vertebrates	 Unknown:NC_014930.1/HQ738644.1	2	2	2011/01/10	2018/08/13	Complete Genome
Human papillomavirus type 128	931209		0	Other	Papillomaviridae	7.259	36	human,vertebrates	NC_014952.1/GU225708.1	7	7	2010/12/31	2019/06/04	Complete Genome
Human papillomavirus type 129	931210		0	Other	Papillomaviridae	7.219	37.3	human	NC_014953.1/GU233853.1	7	7	2010/12/31	2019/06/04	Complete Genome
Human papillomavirus type 131	909330		0	Other	Papillomaviridae	7.182	37	human	NC_014954.1/GU117631.1	7	7	2010/12/31	2019/06/04	Complete Genome
Human papillomavirus 132	909331		0	Other	Papillomaviridae	7.125	37.9	human	NC_014955.1/GU117632.1	7	7	2010/12/31	2018/08/13	Complete Genome
Human papillomavirus 134	909333		0	Other	Papillomaviridae	7.309	38.1	human	NC_014956.1/GU117634.1	7	7	2010/12/31	2019/06/04	Complete Genome
Honeysuckle ringspot virus	943272		0	Other	Tombusviridae	3.956	48.7	land plants	 Unknown:NC_014967.1/HQ677625.1	6	6	2011/01/15	2018/08/13	Complete Genome
Sweet potato leaf curl Uganda virus-[Uganda:Kampala:2008]	940846		0	Other	Geminiviridae	2.799	43.2	land plants	 DNA A:NC_014968.1/FR751068.1	7	7	2011/01/21	2018/08/13	Complete Genome
Sweet potato virus C	930881		0	Other	Potyviridae	10.82	42.9	land plants	NC_014742.1/GU207957.1	2	2	2010/11/28	2018/08/13	Complete Genome
Ageratum leaf curl Cameroon alphasatellite	743035		0	Other	Alphasatellitidae	1.383	37.2	land plants	 Unknown:NC_014744.1/FR717143.1	3	3	2010/12/01	2018/08/14	Complete Genome
Okra leaf curl Cameroon virus	912034		0	Other	Geminiviridae	2.764	43.5	land plants	 DNA A:NC_014745.1/FR717137.1	6	6	2010/12/01	2018/08/13	Complete Genome
Ageratum leaf curl Buea betasatellite	912035		0	Other	Tolecusatellitidae	1.259	36.6	-	 Unknown:NC_014746.1/FR717140.1	1	1	2010/12/01	2018/08/14	Complete Genome
Tomato leaf curl Togo betasatellite-[Togo:2006]	929051		0	Other	Tolecusatellitidae	1.399	37.4	land plants	KT382328.1	-	1	2016/02/03	2016/02/03	Complete Genome
Tomato leaf curl Cameroon alphasatellite [CM:TOS2D1:To:09]	743042		0	Other	Alphasatellitidae	1.401	40.5	land plants	NC_038903.1/FN675299.1	1	1	2011/01/10	2018/08/24	Complete Genome
Bathycoccus sp. RCC1105 virus BpV1	880159		0	Other	Phycodnaviridae	198.519	37.2	-	 Unknown:NC_014765.1/HM004432.1	203	203	2010/11/29	2020/12/20	Complete Genome
Ostreococcus lucimarinus virus 1	880162		0	Other	Phycodnaviridae	194.022	40.9	eukaryotic algae	 Unknown:NC_014766.1/HM004431.1	255	250	2010/11/29	2020/12/20	Complete Genome
Micromonas sp. RCC1109 virus MpV1	880161		0	Other	Phycodnaviridae	184.095	40.9	-	 Unknown:NC_014767.1/HM004429.1	244	244	2010/11/29	2020/12/20	Complete Genome
Ostreococcus tauri virus 2	696472		0	Other	Phycodnaviridae	184.409	41.6	eukaryotic algae	 Unknown:NC_014789.1/FN600414.1	237	237	2010/12/05	2020/12/20	Complete Genome
Passion fruit woodiness virus	31732		0	Other	Potyviridae	9.682	41.5	land plants	NC_014790.2/HQ122652.2	1	1	2010/12/04	2018/08/13	Complete Genome
Ugandan cassava brown streak virus	946046		0	Other	Potyviridae	9.07	38.7	land plants	 Unknown:NC_014791.1/HM181930.1	2	2	2010/12/07	2018/08/13	Complete Genome
Fowl aviadenovirus 6	172862		0	Other	Adenoviridae	43.81	57.9	vertebrates	NC_038332.1/KT862808.1	37	37	2016/06/12	2020/12/20	Complete Genome
Penaeus vannamei nodavirus	430911		0	Other	Nodaviridae	4.294	45.4633	invertebrates	 RNA 2:NC_014977.1/EF137180.2;  RNA 1:NC_014978.1/HQ259079.1	3	3	2007/05/10	2018/08/13	Complete Genome
Sida mosaic Bolivia virus 2	932070		0	Other	Geminiviridae	5.316	45.1591	land plants	 DNA A:NC_015043.1/HM585443.1;  DNA B:NC_015047.1/HM585444.1	7	7	2011/01/15	2018/08/13	Complete Genome
Sida mosaic Bolivia virus 1	932069		0	Other	Geminiviridae	5.348	46.4027	-	 DNA A:NC_015046.1/HM585441.1;  DNA B:NC_015044.1/HM585442.1	7	7	2011/01/15	2018/08/13	Complete Genome
Abutilon mosaic Bolivia virus	932071		0	Other	Geminiviridae	5.399	44.0652	land plants	 DNA A:NC_015045.1/HM585445.1;  DNA B:NC_015048.1/HM585446.1	7	7	2011/01/15	2018/08/13	Complete Genome
Pepper vein yellows virus	909827		0	Other	Solemoviridae	6.244	49.5	land plants	 Unknown:NC_015050.1/AB594828.1	7	7	2011/02/01	2018/08/13	Complete Genome
Spinach curly top Arizona virus	945225		0	Other	Geminiviridae	2.86	40	land plants	 Unknown:NC_015051.1/HQ443515.1	5	5	2011/02/01	2018/08/13	Complete Genome
Santeuil nodavirus	977913		0	Other	Nodaviridae	6.281	53.0552	invertebrates	 RNA 1:NC_015069.1/HM030972.1;  RNA 2:NC_015070.1/HM030973.1	3	3	2011/02/05	2018/08/13	Complete Genome
Mosquito densovirus BR/07	945962		0	Other	Parvoviridae	3.893	37.1	-	 Unknown:NC_015115.1/GU452720.1	3	3	2011/02/01	2018/08/13	Complete Genome
Japanese eel endothelial cells-infecting virus	712037		0	unclassified viruses	unclassified	15.131	47.9	vertebrates	 Unknown:NC_015123.1/AB543063.1	14	14	2011/02/04	2020/12/20	Complete Genome
Tomato leaf curl Hanoi virus	971271		0	Other	Geminiviridae	2.74	42.1	land plants	 DNA A:NC_015124.1/HQ162270.1	6	6	2011/02/02	2018/08/13	Complete Genome
Avian orthoreovirus	38170		0	Other	Spinareoviridae	22.969	51.2377	vertebrates	 L1:KF809662.1;  L2:KF809663.1;  L3:KF809664.1;  M1:KF809665.1;  M2:KF809666.1;  M3:KF809667.1;  S1:KF809668.1;  S2:KF809669.1;  S3:KF809670.1;  S4:KF809671.1	9	11	2014/03/09	2014/09/18	Complete Genome
Human polyomavirus 9	943908		0	Other	Polyomaviridae	5.026	39.2	human	 Unknown:NC_015150.1/HQ696595.1	5	5	2011/02/12	2018/08/13	Complete Genome
Vibrio phage ICP1	979525		0	Other	Myoviridae	130.838	37.1	bacteria	MW794140.1	231	231	2022/04/01	2022/04/01	Complete Genome
Vibrio phage CTXphi	2785247		0	Other	Inoviridae	10.638	44.6	bacteria	chromosome I:NC_015209.1/HQ224500.1	13	13	2011/02/15	2021/10/13	Complete Genome
Tsukamurella phage TPA2	981330		0	Other	Siphoviridae	61.44	69.6	bacteria	 Unknown:NC_015210.1/HM486077.1	78	78	2011/02/14	2020/12/20	Complete Genome
Seal anellovirus TFFN/USA/2006	991022		0	Other	Anelloviridae	2.164	46.8	vertebrates	 Unknown:NC_015212.1/HQ287751.1	3	3	2011/03/09	2018/08/13	Complete Genome
Grapevine berry inner necrosis virus	81877		0	Other	Betaflexiviridae	7.241	38.6	land plants	 Unknown:NC_015220.1/D88448.2	3	3	2001/05/08	2018/08/13	Complete Genome
Trailing lespedeza virus 1	944580		0	Other	Tombusviridae	3.929	48.4	land plants	 Unknown:NC_015227.2/HM640935.2	5	5	2011/03/13	2018/08/13	Complete Genome
Sweet potato vein clearing virus	995049		0	Other	Caulimoviridae	8.837	30.1	land plants	 Unknown:NC_015228.1/HQ694979.1	9	9	2011/03/15	2018/08/13	Complete Genome
Fig fleck-associated virus	548908		0	Other	Tymoviridae	6.704	54.7	land plants	 Unknown:NC_015229.1/FM200426.2	2	2	2010/07/21	2018/08/13	Complete Genome
Acinetobacter phage 133	2919552		0	Other	Straboviridae	159.801	39.7	bacteria	 Unknown:NC_015250.1/HM114315.1	273	257	2010/06/29	2022/03/23	Complete Genome
Aeromonas phage 65	2919549		0	Other	Straboviridae	235.229	37.2	bacteria	 Unknown:NC_015251.1/GU459069.1	454	437	2010/11/24	2022/03/23	Complete Genome
Brochothrix phage NF5	764561		0	Other	Siphoviridae	36.953	37.3	bacteria	 Unknown:NC_015252.1/HM144385.1	58	58	2010/06/18	2021/10/12	Complete Genome
Brochothrix phage A9	857312		0	Other	Herelleviridae	127.065	41.4	bacteria	 Unknown:NC_015253.1/HM242243.1	199	199	2010/06/30	2021/10/12	Complete Genome
Brochothrix phage BL3	764562		0	Other	Siphoviridae	41.518	36.4	bacteria	 Unknown:NC_015254.1/HM144386.1	67	67	2010/06/18	2021/10/12	Complete Genome
Clostridium phage phiCD6356	864178		0	Other	Siphoviridae	37.664	28.4	bacteria	 Unknown:NC_015262.1/GU949551.1	59	59	2010/07/24	2021/10/12	Complete Genome
Lactococcus phage 949	881953		0	Other	Other	114.768	32.7	bacteria	 Unknown:NC_015263.1/HM029250.1	160	154	2010/09/08	2021/10/12	Complete Genome
Pseudomonas phage phiIBB-PF7A	942165		0	Other	Autographiviridae	40.973	56.3	bacteria	NC_015264.1/GU583987.1	52	52	2011/01/28	2020/12/20	Complete Genome
Burkholderia phage KS5	910473		0	Other	Peduoviridae	37.236	63.7	bacteria	 Unknown:NC_015265.1/GU911303.1	46	46	2010/11/22	2021/10/12	Complete Genome
Burkholderia phage KL3	910474		0	Other	Peduoviridae	40.555	63.2	-	 Unknown:NC_015266.1/GU911304.1	52	52	2010/11/22	2021/10/12	Complete Genome
Camelus dromedarius papillomavirus 1	996650		0	Other	Papillomaviridae	7.679	45.8	vertebrates	 Unknown:NC_015267.1/HQ912790.1	7	7	2011/03/20	2018/08/13	Complete Genome
Camelus dromedarius papillomavirus 2	996651		0	Other	Papillomaviridae	7.906	47.2	vertebrates	 Unknown:NC_015268.1/HQ912791.1	7	7	2011/03/20	2018/08/13	Complete Genome
Salmonella phage Spc35	2991866		0	Other	Demerecviridae	118.351	39.4	bacteria	 Unknown:NC_015269.1/HQ406778.1	145	145	2011/02/03	2020/12/20	Complete Genome
Enterococcus phage EFRM31	767806		0	Other	Siphoviridae	16.945	34.6	bacteria	 Unknown:NC_015270.1/GU815339.1	23	23	2010/06/02	2020/12/20	Chromosome
Salmonella phage Vi06	866889		0	Other	Autographiviridae	38.368	48.9	bacteria	NC_015271.1/FR667955.1	51	47	2010/07/23	2021/10/12	Complete Genome
Pseudomonas phage KPP10	582345		0	Other	Other	88.322	54.8	bacteria	 Unknown:NC_015272.2/AB472900.2	161	158	2010/06/05	2021/10/11	Complete Genome
Burkholderia phage KS14	910475		0	Other	Peduoviridae	32.317	62.3	bacteria	 Unknown:NC_015273.1/HM461982.1	44	44	2010/11/22	2021/10/12	Complete Genome
Streptococcus phage Dp-1	59241		0	Other	Siphoviridae	56.506	40.3	bacteria	 Unknown:NC_015274.1/HQ268735.1	72	72	2010/12/18	2021/10/11	Complete Genome
Erwinia phage phiEa104	925986		0	Other	Other	84.565	43.8	bacteria	 Unknown:NC_015292.1/FQ482083.1	144	118	2010/11/10	2021/10/11	Complete Genome
Pseudoalteromonas phage H105/1	877240	PRJNA209414	209414	Other	Siphoviridae	30.651	40.8	bacteria	 Unknown:NC_015293.1/HM588722.1	52	52	2010/08/28	2020/12/20	Complete Genome
Pseudomonas phage PAK_P1	743813		0	Other	Other	93.198	49.5	bacteria	 Unknown:NC_015294.2/KC862297.1	181	181	2011/03/24	2021/10/11	Complete Genome
Erwinia phage phiEt88	925984		0	Other	Myoviridae	47.279	47.3	bacteria	 Unknown:NC_015295.1/FQ482085.1	69	68	2010/11/10	2021/10/12	Complete Genome
Ralstonia phage PE226	926543		0	Other	Inoviridae	5.475	61.7	bacteria	 Unknown:NC_015297.1/HM064452.1	9	9	2010/11/20	2018/08/13	Complete Genome
Sweet potato leaf curl South Carolina virus	999288		0	Other	Geminiviridae	2.782	44	land plants	 DNA A:NC_015317.1/HQ333144.1	6	6	2011/03/30	2018/08/13	Complete Genome
Vibrio phage ICP2	979533		0	Other	Zobellviridae	49.675	42.7	bacteria	 Unknown:NC_015158.1/HQ641345.1	72	72	2011/02/22	2021/10/12	Complete Genome
Vibrio phage ICP3	979535		0	Other	Autographiviridae	39.162	42.9	bacteria	NC_015159.1/HQ641340.1	54	54	2011/02/22	2020/12/20	Complete Genome
Pseudomonas phage phi15	988656		0	Other	Autographiviridae	39.562	58.2	bacteria	NC_015208.1/FR823298.1	50	50	2011/03/01	2020/12/20	Complete Genome
Fowl aviadenovirus C	190063		0	Other	Adenoviridae	45.81	54.6	vertebrates	HE608152.1	23	49	2012/03/26	2012/03/26	Complete Genome
Barbel circovirus	759938		0	Other	Circoviridae	1.957	47.4	vertebrates	NC_015399.1/GU799606.1	2	2	2011/04/13	2018/08/13	Complete Genome
Sandfly fever Turkey virus	688699		0	Other	Phenuiviridae	12.603	43.6384	human,invertebrates	 M:NC_015411.1/GQ847512.2;  S:NC_015413.1/GQ847511.2;  L:NC_015412.1/GQ847513.2	4	4	2010/08/02	2018/08/13	Complete Genome
Cherry leaf roll virus	12615		0	Other	Secoviridae	14.278	49.8136	land plants	 RNA 1:NC_015414.1/FR851461.1;  RNA 2:NC_015415.1/FR851462.1	2	2	2011/04/21	2018/08/13	Complete Genome
Chlamydia phage CPG1	90963		0	Other	Microviridae	4.529	41	bacteria	 Unknown:NC_001998.1/U41758.1	9	9	1999/01/02	2018/08/13	Complete Genome
Potato yellow mosaic Panama virus	223307		0	Other	Geminiviridae	5.126	42.766	land plants	 DNA A:NC_002048.1/Y15034.1;  DNA B:NC_002049.1/Y15033.1	7	7	1997/10/09	2018/08/13	Complete Genome
Sulfolobus spindle-shaped virus 1	244589		0	Other	Fuselloviridae	15.465	39.7	archaea	 Unknown:NC_001338.1/X07234.1	32	31	1988/07/16	2021/10/11	Complete Genome
Ictalurid herpesvirus 1	10401		0	Other	Alloherpesviridae	134.226	56.2	vertebrates	 Unknown:NC_001493.2/M75136.2	90	90	1993/08/02	2018/08/13	Complete Genome
Minute virus of mice	10794		0	Other	Parvoviridae	5.149	42.1	vertebrates	 Unknown:NC_001510.1/J02275.1	3	7	1993/08/02	2018/08/13	Complete Genome
Bovine parvovirus	10784		0	Other	Parvoviridae	5.517	48.8	vertebrates	 Unknown:NC_001540.1/M14363.1	4	4	1993/08/03	2018/08/13	Complete Genome
Arabis mosaic virus small satellite RNA	196399		0	Satellites	unclassified	0.3	53	-	 Unknown:NC_001546.1/M21212.1	-	-	1993/08/03	2018/08/13	Complete Genome
Iotapapillomavirus 1	10567		0	Other	Papillomaviridae	7.687	50.2	vertebrates	 Unknown:NC_001605.1/U01834.1	6	6	1993/12/23	2018/08/13	Complete Genome
Human papillomavirus type 48	40538		0	Other	Papillomaviridae	7.1	36.8	human	NC_001690.1/U31789.1	7	7	1995/10/17	2018/08/13	Complete Genome
Human papillomavirus type 60	40540		0	Other	Papillomaviridae	7.313	37	human	NC_001693.1/U31792.1	7	7	1995/10/18	2018/08/13	Complete Genome
Lactobacillus phage c2	2681624		0	Other	Other	22.172	36.3	bacteria	 Unknown:NC_001706.1/L48605.1	41	39	1996/01/03	2021/10/11	Complete Genome
Adeno-associated virus - 4	57579		0	Other	Parvoviridae	4.767	57.4	human,vertebrates	 Unknown:NC_001829.1/U89790.1	2	2	1997/08/21	2018/08/13	Complete Genome
Petunia vein clearing virus	59504		0	Other	Caulimoviridae	7.206	38.2	land plants	 Unknown:NC_001839.2/U95208.2	1	1	1997/10/03	2018/08/13	Complete Genome
